miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg19:9:96938224-96938244:+	4	1.309059	N	precursor
hsa-let-7a-1	hg19:9:96938225-96938244:+	1	0.327265	N	precursor
hsa-let-7a-1	hg19:9:96938243-96938264:+	2	0.654529	N	mature,MIMAT0000062
hsa-let-7a-1	hg19:9:96938243-96938265:+	6	1.963588	N	mature,MIMAT0000062
hsa-let-7a-1	hg19:9:96938243-96938266:+	6	1.963588	N	mature,MIMAT0000062
hsa-let-7a-1	hg19:9:96938244-96938263:+	366	119.778861	N	mature,MIMAT0000062
hsa-let-7a-1	hg19:9:96938244-96938264:+	6952	2275.143825	N	mature,MIMAT0000062
hsa-let-7a-1	hg19:9:96938244-96938265:+	11439	3743.580295	N	mature,MIMAT0000062
hsa-let-7a-1	hg19:9:96938244-96938266:+	14557	4763.991464	N	mature,MIMAT0000062
hsa-let-7a-1	hg19:9:96938244-96938267:+	107	35.017317	N	mature,MIMAT0000062
hsa-let-7a-1	hg19:9:96938244-96938268:+	6	1.963588	N	mature,MIMAT0000062
hsa-let-7a-1	hg19:9:96938245-96938264:+	1	0.327265	N	mature,MIMAT0000062
hsa-let-7a-1	hg19:9:96938245-96938266:+	4	1.309059	N	mature,MIMAT0000062
hsa-let-7a-1	hg19:9:96938247-96938265:+	3	0.981794	N	mature,MIMAT0000062
hsa-let-7a-1	hg19:9:96938247-96938266:+	3	0.981794	N	mature,MIMAT0000062
hsa-let-7a-1	hg19:9:96938295-96938314:+	1	0.327265	N	star,MIMAT0004481
hsa-let-7a-1	hg19:9:96938295-96938315:+	6	1.963588	N	star,MIMAT0004481
hsa-let-7a-1	hg19:9:96938295-96938316:+	20	6.545293	N	star,MIMAT0004481
hsa-let-7a-1	hg19:9:96938295-96938317:+	14	4.581705	N	star,MIMAT0004481
hsa-let-7a-1	hg19:9:96938296-96938316:+	1	0.327265	N	star,MIMAT0004481
hsa-let-7a-1	hg19:9:96938296-96938317:+	2	0.654529	N	star,MIMAT0004481
